timestamp,model_name,grid_signature,hyperparameters_json,epochs,num_parameters,test_accuracy,resume_status,run_time_sec
2026-01-05T09:32:15.083900,grid_28,b22abf1f6de9,"{""batchnorm"": false, ""conv_filters"": [32, 64, 128], ""dropout"": false, ""dropout_rate"": 0.3, ""learning_rate"": 0.0005}",30,181355,88.73,FRESH,1212.23
2026-01-05T09:40:09.704371,grid_30,d2b49eaa6a2b,"{""batchnorm"": true, ""conv_filters"": [32, 64, 128], ""dropout"": false, ""dropout_rate"": 0.5, ""learning_rate"": 0.0005}",30,183659,97.74,FRESH,1015.61
2026-01-05T09:44:20.640371,grid_31,1cf8f0f8a2ec,"{""batchnorm"": false, ""conv_filters"": [32, 64, 128], ""dropout"": false, ""dropout_rate"": 0.5, ""learning_rate"": 0.001}",30,181355,92.74,FRESH,1187.67
2026-01-05T09:44:30.035477,grid_29,7ad7ec7da7d3,"{""batchnorm"": true, ""conv_filters"": [32, 64, 128], ""dropout"": false, ""dropout_rate"": 0.5, ""learning_rate"": 0.001}",30,183659,98.32,FRESH,1284.05
2026-01-05T09:51:53.092692,grid_32,8eb6a6a1ba76,"{""batchnorm"": false, ""conv_filters"": [32, 64, 128], ""dropout"": false, ""dropout_rate"": 0.5, ""learning_rate"": 0.0005}",30,181355,86.17,FRESH,1168.89
2026-01-05T09:57:25.525792,grid_33,bddf9202148f,"{""batchnorm"": true, ""conv_filters"": [16, 32, 64, 128], ""dropout"": true, ""dropout_rate"": 0.3, ""learning_rate"": 0.001}",30,188235,98.42,FRESH,1030.56
2026-01-05T10:00:41.352923,grid_34,6b158139a785,"{""batchnorm"": true, ""conv_filters"": [16, 32, 64, 128], ""dropout"": true, ""dropout_rate"": 0.3, ""learning_rate"": 0.0005}",30,188235,98.19,FRESH,975.76
2026-01-05T10:00:41.980481,grid_35,3e29c92efe99,"{""batchnorm"": false, ""conv_filters"": [16, 32, 64, 128], ""dropout"": true, ""dropout_rate"": 0.3, ""learning_rate"": 0.001}",30,185547,97.26,FRESH,968.68
2026-01-05T12:30:09.016930,grid_36,7e7411f0f993,"{""batchnorm"": false, ""conv_filters"": [16, 32, 64, 128], ""dropout"": true, ""dropout_rate"": 0.3, ""learning_rate"": 0.0005}",30,185547,96.19,FRESH,9491.33
2026-01-05T12:33:06.770891,grid_37,0e40027ce709,"{""batchnorm"": true, ""conv_filters"": [16, 32, 64, 128], ""dropout"": true, ""dropout_rate"": 0.5, ""learning_rate"": 0.001}",30,188235,98.39,FRESH,9336.8
2026-01-05T12:35:53.425669,grid_39,6ec93f9eec5c,"{""batchnorm"": false, ""conv_filters"": [16, 32, 64, 128], ""dropout"": true, ""dropout_rate"": 0.5, ""learning_rate"": 0.001}",30,185547,97.37,FRESH,9304.08
2026-01-05T12:37:46.845848,grid_38,7001562f9a6d,"{""batchnorm"": true, ""conv_filters"": [16, 32, 64, 128], ""dropout"": true, ""dropout_rate"": 0.5, ""learning_rate"": 0.0005}",30,188235,98.04,FRESH,9422.16
2026-01-05T12:45:49.383395,grid_40,5223508bc197,"{""batchnorm"": false, ""conv_filters"": [16, 32, 64, 128], ""dropout"": true, ""dropout_rate"": 0.5, ""learning_rate"": 0.0005}",30,185547,96.33,FRESH,935.94
2026-01-05T12:46:58.789019,grid_41,04b6515d0d35,"{""batchnorm"": true, ""conv_filters"": [16, 32, 64, 128], ""dropout"": false, ""dropout_rate"": 0.3, ""learning_rate"": 0.001}",30,188235,97.81,FRESH,827.68
2026-01-05T12:49:46.023009,grid_42,c1f9b763b921,"{""batchnorm"": true, ""conv_filters"": [16, 32, 64, 128], ""dropout"": false, ""dropout_rate"": 0.3, ""learning_rate"": 0.0005}",30,188235,98.61,FRESH,825.89
2026-01-05T12:53:06.293975,grid_43,d1738da43a6a,"{""batchnorm"": false, ""conv_filters"": [16, 32, 64, 128], ""dropout"": false, ""dropout_rate"": 0.3, ""learning_rate"": 0.001}",30,185547,97.33,FRESH,915.04
2026-01-05T16:43:39.407112,grid_44,2aa75589ddd3,"{""batchnorm"": false, ""conv_filters"": [16, 32, 64, 128], ""dropout"": false, ""dropout_rate"": 0.3, ""learning_rate"": 0.0005}",30,185547,95.84,FRESH,14264.98
2026-01-05T16:44:46.735259,grid_45,17fc1b3794e6,"{""batchnorm"": true, ""conv_filters"": [16, 32, 64, 128], ""dropout"": false, ""dropout_rate"": 0.5, ""learning_rate"": 0.001}",30,188235,98.48,FRESH,14262.71
2026-01-05T16:45:35.382744,grid_46,5fac0b47f510,"{""batchnorm"": true, ""conv_filters"": [16, 32, 64, 128], ""dropout"": false, ""dropout_rate"": 0.5, ""learning_rate"": 0.0005}",30,188235,97.85,FRESH,14145.64
2026-01-05T16:48:44.242836,grid_47,49a3a47689ae,"{""batchnorm"": false, ""conv_filters"": [16, 32, 64, 128], ""dropout"": false, ""dropout_rate"": 0.5, ""learning_rate"": 0.001}",30,185547,96.51,FRESH,14134.39
2026-01-05T16:52:18.066395,grid_48,576ad45a2c55,"{""batchnorm"": false, ""conv_filters"": [16, 32, 64, 128], ""dropout"": false, ""dropout_rate"": 0.5, ""learning_rate"": 0.0005}",30,185547,95.08,FRESH,514.75
